Player,Nation,Pos,Age,PrgC,PrgP,PrgR,G+A,xG+xAG,Min,Squad,isBarca
Gavi,es ESP,"MF,FW",20.0,13,77,42,2,0.2,1085,Barcelona,1
Frenkie de Jong,nl NED,MF,28.0,36,120,24,4,0.21,1143,Barcelona,1
Jules Koundé,fr FRA,DF,26.0,44,165,190,5,0.2,2605,Barcelona,1
Robert Lewandowski,pl POL,FW,36.0,26,48,164,29,0.99,2667,Barcelona,1
Fermin López,es ESP,"MF,FW",22.0,31,78,108,11,0.68,1252,Barcelona,1
Gerard Martín,es ESP,DF,23.0,10,40,122,4,0.14,1038,Barcelona,1
Iñigo Martínez,es ESP,DF,34.0,70,260,11,4,0.11,2490,Barcelona,1
Dani Olmo,es ESP,"MF,FW",27.0,33,81,96,13,0.71,1212,Barcelona,1
Pedri,es ESP,MF,22.0,92,360,136,9,0.3,2879,Barcelona,1
Iñaki Peña,es ESP,GK,26.0,0,3,0,0,0.0,1396,Barcelona,1
Raphinha,br BRA,"FW,MF",28.0,94,135,349,27,1.01,2839,Barcelona,1
Daniel Rodriguez,es ESP,FW,19.0,4,2,9,0,0.06,37,Barcelona,1
Wojciech Szczęsny,pl POL,GK,35.0,0,0,0,0,0.0,1350,Barcelona,1
Marc-André ter Stegen,de GER,GK,33.0,0,2,0,0,0.0,674,Barcelona,1
Pablo Torre,es ESP,"MF,FW",22.0,5,17,20,4,0.33,310,Barcelona,1
Ferrán Torres,es ESP,"FW,MF",25.0,23,35,98,16,0.9,1106,Barcelona,1
Pau Victor Delgado,es ESP,FW,23.0,6,11,28,3,1.09,319,Barcelona,1
Lamine Yamal,es ESP,FW,17.0,181,160,433,22,0.75,2856,Barcelona,1
